381.3919131502,430.2502623372,109.0358264945
386.3644717884,430.6926585459,109.9063264239
387.3838575121,430.8205212201,109.9701529733
388.3529006553,430.9575209020,109.9831737438
389.3716430358,431.1133883024,109.9603330614
390.3534028551,431.2755560079,109.9014306226
391.6002473693,431.5033225925,109.7593482153
392.4175707680,431.6676802703,109.6197843080
393.2198795872,431.8343042928,109.4664725038
393.9931330403,432.0069024546,109.2816816778
394.7522322698,432.1819066311,109.0831017391
395.4818951437,432.3634375011,108.8511730747
396.2057955336,432.5455197030,108.6149428323
396.8717468090,432.7421897855,108.3077229447
397.5504547969,432.9348510465,108.0185711664
398.2121348303,433.1315619977,107.7092813807
398.8556810395,433.3328011342,107.3778822048
399.4757744446,433.5402584107,107.0167783282
400.0806023036,433.7518561692,106.6360480142
400.6774362780,433.9656638337,106.2449041060
401.2535046573,434.1855100427,105.8258142887
401.8185078125,434.4087609871,105.3912483755
402.3663863431,434.6373671418,104.9324746103
402.8948082815,434.8722433033,104.4456253431
403.4176308108,435.1093790178,103.9492781249
403.9144758302,435.3551819929,103.4145376559
404.4156019880,435.6004742159,102.8832689680
404.8839453189,435.8570207696,102.3025731077
405.3479361706,436.1160798209,101.7121530429
405.7971162044,436.3811427204,101.0965515140
406.2281557824,436.6535186615,100.4502371285
406.6418242520,436.9332035357,99.7735658427
407.0312175110,437.2227890119,99.0554473014
407.4188513857,437.5149305383,98.3286253781
407.7843958258,437.8167326558,97.5620735130
408.1144173556,438.1332321682,96.7342316071
408.4295850743,438.4576244335,95.8753518475
408.7331937987,438.7889963221,94.9897287132
409.0010480329,439.1363449388,94.0387613689
409.2517119300,439.4934158676,93.0500638778
409.4620217861,439.8691420888,91.9856958102
409.6322688871,440.2640849592,90.8440548596
409.7689904167,440.6764317331,89.6336661415
409.8476252350,441.1162528449,88.3124513053
409.8505568078,441.5913973597,86.8482995140
409.7817738473,442.1015309106,85.2440370477
409.5877632225,442.6693570780,83.4056339303
409.2465675662,443.3059907149,81.2889731052
409.1742247263,443.3811938709,81.0245616028
424.2695781931,312.2910022620,130.2760675045
426.8703182863,312.6332794361,131.4762594469
428.5511418214,312.8983071131,132.0753026710
430.2085230563,313.1837089023,132.5689416999
431.5813570322,313.4508534489,132.8538158267
432.8900956718,313.7169949840,133.0791012291
434.0909150257,313.9846238520,133.1912429056
435.2455885012,314.2515479667,133.2603896228
436.3675445475,314.5174070872,133.3013186390
437.4032034038,314.7854062201,133.2479329186
438.4028136353,315.0532860723,133.1592203069
439.3710978191,315.3210789794,133.0397402940
440.2991459927,315.5896072464,132.8773427317
441.2022986693,315.8581600099,132.6901230645
442.0569022878,316.1286008566,132.4471088168
442.9022418515,316.3985098394,132.1970362323
443.7185085433,316.6694665097,131.9138906137
444.5024836659,316.9419689728,131.5924802681
445.2616282266,317.2157088104,131.2414534481
445.9985388732,317.4907115650,130.8632865296
446.7284175294,317.7658505751,130.4776001336
447.4241145140,318.0436570899,130.0472694668
448.1016688777,318.3229693689,129.5928843660
448.7752983455,318.6025931098,129.1333573419
449.5755191738,318.9496268200,128.5275590508
450.1947815817,319.2349890675,127.9910023800
450.7945641585,319.5228285983,127.4251474578
451.3676934170,319.8141676261,126.8187597014
451.9308904462,320.1073893779,126.1949300375
452.4919814485,320.4017062511,125.5645890710
453.0331803148,320.6993377599,124.9011525368
453.5281286597,321.0038461854,124.1641233272
454.0280097848,321.3091710415,123.4286676855
454.5012945125,321.6194830833,122.6467112819
454.9567444817,321.9339340712,121.8303528724
455.3904211243,322.2533552311,120.9723249273
455.8008736702,322.5782539194,120.0691386490
456.1857987983,322.9093011725,119.1157961981
456.5447758445,323.2469344956,118.1101079328
456.8566379362,323.5948889473,117.0160075986
457.1439922851,323.9501764134,115.8679525874
457.4190304240,324.3112001413,114.6844610363
457.6076027783,324.6907175042,113.3405417149
457.7667098905,325.0801483915,111.9272996335
457.8665917435,325.4852443214,110.3920159064
457.8499346848,325.9506479578,108.4977067316
457.6432496571,326.4259202531,106.3749546724
457.5152635767,326.6887470485,105.1874293060
